gene baseMean log2FoldChange lfcSE stat pvalue padj symbol entrezid highlight
0610005C13Rik 0.17769951364991102 -0.4284143018374359 4.075586143816085 -0.10511722405560532 0.916282792201734 NA 0610005C13Rik 71661 No
0610009B22Rik 40.728832223527355 0.32683483301014377 0.3185126022279661 1.0261284191707467 0.3048310561634726 0.8120981504484781 0610009B22Rik 66050 No
0610009E02Rik 2.7049758430272988 0.13549443987462997 1.2828377792910857 0.10562086809565752 0.9158831670177483 NA 0610009E02Rik 100125929 No
0610009L18Rik 1.220530665629294 0.9940998010240496 1.7705804025946859 0.5614541986160314 0.5744879451862812 NA 0610009L18Rik 66838 No
0610010K14Rik 76.086668787356885 0.12358997168986549 0.23790381065273652 0.5194955530589097 0.6034152131606263 0.9417104744369763 0610010K14Rik 104457 No
0610012G03Rik 94.45456655760212 0.1332383856778558 0.2179497281871035 0.6113262300720765 0.5409836293562669 0.920483889047994 0610012G03Rik 106264 No
0610030E20Rik 126.37575370060605 -0.12032552617596774 0.18202372623796126 -0.6610430885183897 0.5085846811247747 0.9099476736032618 0610030E20Rik 68364 No
0610031O16Rik 0.16152734912773528 -0.3090532152169963 4.0801058921591276 -0.07574637114465925 0.9396208830984711 NA 0610031O16Rik 68369 No
0610038B21Rik 1.3298977161915073 -1.3027663992960081 1.7429603665126867 -0.7474446489581297 0.45479520250068933 NA 0610038B21Rik 70345 No
0610039H22Rik 0.28885950182257464 1.7596597351329009 3.8452061936929987 0.45762428501731267 0.647222393086832 NA 0610039H22Rik 68397 No
0610039K10Rik 1.132365317983076 -0.18166596844415484 1.8743476058164135 -0.09692223997321256 0.9227881470098489 NA 0610039K10Rik 68386 No
0610040B10Rik 1.8590431002852221 0.4138936883510917 1.394049615004682 0.2969002565591624 0.7665426602918024 NA 0610040B10Rik 67672 No
0610040F04Rik 1.1205015954371729 2.6035622810079477 2.158936536938332 1.2059466484828478 0.22783806231305528 NA 0610040F04Rik 75394 No
