ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GO:0035456 "response to interferon-beta" 36/327 63/22215 5.33357123301891e-50 1.81074743360992e-46 1.5091199446689294e-46 69550/240328/14469/14468/55932/100702/620913/225594/240327/26388/15950/15951/226695/226691/236312/381308/15953/15957/15959/66141/15976/16145/60440/16362/15944/54396/246730/23960/71701/319278/20846/72512/21822/100039796/22040/327959 36
GO:0009615 "response to virus" 58/327 311/22215 7.101043362432028e-47 1.2054021107728369e-43 1.0046107662219627e-43 11810/80287/69550/15945/230073/234311/80861/209200/14468/17472/110558/15951/226691/76933/15061/71586/15957/667373/112419/15958/15959/667370/66141/15976/16145/16168/16362/54123/15944/100038882/57444/74568/17454/17857/17858/17874/64685/246730/23961/23960/246728/246727/23962/80285/58185/67775/56045/319278/276950/237886/20846/20847/72512/21822/142980/22040/94094/58203 58
GO:0051607 "defense response to virus" 53/327 255/22215 2.0060351754832092e-45 1.7026223551913738e-42 1.4190059346575964e-42 11810/80287/69550/15945/230073/234311/80861/209200/14468/17472/110558/15951/226691/15061/71586/15957/667373/112419/15958/15959/667370/66141/15976/16168/16362/54123/100038882/57444/74568/17454/17857/17858/17874/246730/23961/23960/246728/246727/23962/80285/58185/67775/56045/319278/276950/237886/20846/20847/72512/142980/22040/94094/58203 53
GO:0140546 "defense response to symbiont" 53/327 255/22215 2.0060351754832092e-45 1.7026223551913738e-42 1.4190059346575964e-42 11810/80287/69550/15945/230073/234311/80861/209200/14468/17472/110558/15951/226691/15061/71586/15957/667373/112419/15958/15959/667370/66141/15976/16168/16362/54123/100038882/57444/74568/17454/17857/17858/17874/246730/23961/23960/246728/246727/23962/80285/58185/67775/56045/319278/276950/237886/20846/20847/72512/142980/22040/94094/58203 53
GO:0035458 "cellular response to interferon-beta" 31/327 55/22215 6.864567637110248e-43 4.6610414255978585e-40 3.884622696537336e-40 240328/14469/14468/55932/100702/620913/225594/240327/26388/15950/15951/226695/226691/236312/381308/15953/15957/15959/16145/60440/16362/15944/54396/246730/23960/71701/20846/72512/21822/100039796/22040 31
GO:0002831 "regulation of response to biotic stimulus" 46/327 335/22215 5.363893017071275e-31 3.0350694654928303e-28 2.529499022787296e-28 80287/60533/93694/230073/234311/80861/209200/17472/229898/14824/14991/15950/15951/226695/226691/236312/381308/70110/16145/16168/16362/54123/15944/100038882/434341/64685/246730/23960/246727/547253/80285/56045/20723/12703/20846/20847/72512/21354/21355/231712/22040/319236/20821/20128/209387/58203 46
GO:0045088 "regulation of innate immune response" 38/327 215/22215 6.927384450680254e-30 3.359781458579923e-27 2.800121714801282e-27 93694/80861/229898/14824/14991/15950/15951/226695/226691/236312/381308/70110/16145/16362/54123/15944/100038882/434341/64685/246730/23960/246727/547253/80285/56045/20723/12703/20847/72512/21354/21355/231712/22040/319236/20821/20128/209387/58203 38
GO:0002483 "antigen processing and presentation of endogenous peptide antigen" 20/327 41/22215 2.589614086898026e-26 9.768599805576442e-24 8.141383234598705e-24 12010/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/21354/21355/21356 20
GO:0019885 "antigen processing and presentation of endogenous peptide antigen via MHC class I" 20/327 41/22215 2.589614086898026e-26 9.768599805576442e-24 8.141383234598705e-24 12010/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/21354/21355/21356 20
GO:0019883 "antigen processing and presentation of endogenous antigen" 20/327 44/22215 1.6284023786333868e-25 5.528426075460348e-23 4.607521677648993e-23 12010/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/21354/21355/21356 20
GO:0034341 "response to interferon-gamma" 29/327 139/22215 3.4015917927383793e-25 1.0498549214860725e-22 8.749740419981592e-23 69550/12362/626578/634650/14469/14468/55932/17472/229898/100702/229900/76074/236573/110558/66141/16145/16362/15944/54396/434341/64685/547253/80285/319278/12703/20684/20846/21822/20821 29
GO:0048525 "negative regulation of viral process" 26/327 102/22215 3.944134496745859e-25 1.1158613847043492e-22 9.299853971274446e-23 80287/69550/15951/226691/71586/66141/100038882/57444/17069/246730/23961/23960/246728/246727/23962/671535/58185/319278/20684/20846/319236/74735/20821/20128/209387/22695 26
GO:0002474 "antigen processing and presentation of peptide antigen via MHC class I" 21/327 55/22215 9.43223128045461e-25 2.463263476703338e-22 2.0529423224179749e-22 12010/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/21354/21355/21356/213233 21
