gene baseMean log2FoldChange lfcSE stat pvalue padj symbol entrezid highlight
0610005C13Rik 1.7149971593592006 -0.25639664336568163 1.6187555537690343 -0.1583912053729791 0.8741485433989217 NA 0610005C13Rik 71661 No
0610009B22Rik 85.76919685714554 -0.07007118775519067 0.22397588475406688 -0.31285148323950684 0.75439349925189 0.9405486828471155 0610009B22Rik 66050 No
0610009E02Rik 4.504043137452832 1.232702683358462 1.1793367593554531 1.0452507933630213 0.2959070733827135 NA 0610009E02Rik 100125929 No
0610009L18Rik 6.663794582015876 -0.3795406932700638 0.750237660819519 -0.5058939494659254 0.612931100070445 NA 0610009L18Rik 66838 No
0610010K14Rik 93.06734340055083 0.046053558156719805 0.22463833721840587 0.20501201498809163 0.8375627377994328 0.96250507909769345 0610010K14Rik 104457 No
0610012G03Rik 181.52078376933463 0.15756653977835927 0.16997053015746855 0.9270226999491168 0.35391474847232396 0.7410707914066086 0610012G03Rik 106264 No
0610030E20Rik 139.57271794968165 0.3478310572700749 0.18293190761953668 1.9014236597450067 0.05724654296118339 0.33781878749828814 0610030E20Rik 68364 No
0610031O16Rik 0 NA NA NA NA NA 0610031O16Rik 68369 No
0610038B21Rik 3.8124045167443055 0.10714959584311028 1.0503629498028364 0.10201197201712353 0.9187471723650044 NA 0610038B21Rik 70345 No
0610039H22Rik 0.8752940114732601 -1.0898128065224415 2.068314807911831 -0.5269085742429681 0.5982570793055173 NA 0610039H22Rik 68397 No
0610039K10Rik 1.707435278130589 -1.1811086480761082 1.5070809904783171 -0.7837061548372712 0.4332125502109766 NA 0610039K10Rik 68386 No
0610040B10Rik 2.768087324460522 -0.599250319885219 1.1614476993708511 -0.5159511876512641 0.6058885016899898 NA 0610040B10Rik 67672 No
0610040F04Rik 2.5212138364741543 -0.19288537595840832 1.2547033601067354 -0.15372986324193783 0.8778227372064802 NA 0610040F04Rik 75394 No
0610040J01Rik 24.817303596949365 -0.8397080750240955 0.4427860997483191 -1.8964192315463109 0.057904630840423216 0.33799355669736225 0610040J01Rik 76261 No
0610043K17Rik 0.4719821469472258 2.646234958869286 3.2956811704198845 0.802940218435069 0.42200928863916065 NA 0610043K17Rik 68400 No
1110002E22Rik 12.98707297321807 0.039130324784608976 0.7348031860075458 0.05325279684376211 0.9575304894604773 0.9890091290206459 1110002E22Rik 102634333 No
1110002J07Rik 2.0667854725491166 0.369282506689829 1.6702945408439234 0.22108825578945343 0.825023714530412 NA 1110002J07Rik 68488 No
1110002L01Rik 51.861264948433515 0.06952807773242485 0.30600783458652303 0.22721012299038357 0.8202603565247711 0.9580131385463301 1110002L01Rik 100043040 No
1110004F10Rik 406.4081775760126 0.02156410062387486 0.12295533868398846 0.17538157232275584 0.8607798193265732 0.9695465703361131 1110004F10Rik 56372 No
1110006O24Rik 6.314513799262392 -0.5549065834929023 0.9281279191404214 -0.5978772667530838 0.5499218296111181 NA 1110006O24Rik 66123 No
1110015O18Rik 0 NA NA NA NA NA 1110015O18Rik 100503859 No
1110017D15Rik 0.8399672655341327 3.132084116838074 2.9028169763220872 1.078980914878923 0.28059623565803965 NA 1110017D15Rik 73721 No
1110019D14Rik 14.76590856740577 0.1619960892922862 0.5231231349214621 0.30967104774788273 0.7568111217379849 0.9412962962864617 1110019D14Rik 76311 No
1110020A21Rik 6.255505230000929 0.7307574123748415 0.9912322943429616 0.7372211504259192 0.4609878733614275 NA 1110020A21Rik 68531 No
1110025L11Rik 0 NA NA NA NA NA 1110025L11Rik 68637 No
1110028F11Rik 0.11316795893123234 1.1799220211444847 4.0704714078607225 0.2898735558898336 0.7719129728045846 NA 1110028F11Rik 68690 No
1110028F18Rik 0.25020513794737925 0.2645146366625867 4.067081679412256 0.06503794551301274 0.9481437880453688 NA 1110028F18Rik 68692 No
1110032A03Rik 47.308138394504574 0.46506686084349164 0.309187392021133 1.5041585551189107 0.13254054626668174 0.5014799091238425 1110032A03Rik 68721 No
1110032F04Rik 0 NA NA NA NA NA 1110032F04Rik 68725 No
1110036E04Rik 0 NA NA NA NA NA 1110036E04Rik 68697 No
1110038B12Rik 500.22526437678954 -0.09664138835298082 0.1133304244264876 -0.8527400196552497 0.39380349264297854 0.7698906423406495 1110038B12Rik 68763 No
1110038F14Rik 200.0147270679595 1.078356542392987 0.3173215167892332 3.398308924349551 6.780380850144611e-4 0.024569150427986245 1110038F14Rik 117171 Yes
