ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GO:0035456 "response to interferon-beta" 31/401 63/22215 1.510825315828155e-37 6.161145637947216e-34 4.864857516966659e-34 667214/16365/69550/240328/14469/55932/100702/620913/225594/240327/432555/15950/15951/226695/226691/381308/15953/15957/15959/66141/15976/16145/60440/16362/15944/54396/100040462/20846/21822/100039796/327959 31
GO:0009615 "response to virus" 51/401 311/22215 8.84842180786229e-34 1.804193206623121e-30 1.4245959110658288e-30 16365/56417/80287/12176/69550/12913/15945/17329/80861/209200/19106/17472/15951/226691/52668/76933/217845/15957/15958/15959/66141/15976/16145/16161/16362/16363/54123/15944/100038882/57444/56048/74568/17874/23961/246728/246727/231655/23962/80285/56045/237886/20846/20847/21822/76681/69097/217069/94094/70450/58203/78781 51
GO:0035458 "cellular response to interferon-beta" 27/401 55/22215 8.447495849175665e-33 1.1482962690979453e-29 9.066978878115214e-30 667214/16365/240328/14469/55932/100702/620913/225594/240327/432555/15950/15951/226695/226691/381308/15953/15957/15959/16145/60440/16362/15944/54396/100040462/20846/21822/100039796 27
GO:0051607 "defense response to virus" 46/401 255/22215 1.9774791999046375e-32 1.6128320354422224e-29 1.2734966047385867e-29 16365/56417/80287/12176/69550/12913/15945/17329/80861/209200/19106/17472/15951/226691/52668/217845/15957/15958/15959/66141/15976/16161/16362/16363/54123/100038882/57444/74568/17874/23961/246728/246727/231655/23962/80285/56045/237886/20846/20847/76681/69097/217069/94094/70450/58203/78781 46
GO:0140546 "defense response to symbiont" 46/401 255/22215 1.9774791999046375e-32 1.6128320354422224e-29 1.2734966047385867e-29 16365/56417/80287/12176/69550/12913/15945/17329/80861/209200/19106/17472/15951/226691/52668/217845/15957/15958/15959/66141/15976/16161/16362/16363/54123/100038882/57444/74568/17874/23961/246728/246727/231655/23962/80285/56045/237886/20846/20847/76681/69097/217069/94094/70450/58203/78781 46
GO:0034341 "response to interferon-gamma" 34/401 139/22215 7.005449036565308e-29 4.761370195185554e-26 3.759590982956716e-26 16365/69550/12362/16423/16149/104252/12265/626578/634650/14469/55932/17472/229898/100702/229900/76074/236573/66141/16145/16161/16362/15900/15944/54396/434341/18126/547253/80285/12703/20846/20910/21822/24088/24108 34
GO:0002831 "regulation of response to biotic stimulus" 47/401 335/22215 4.669364040498118e-28 2.7202380795930463e-25 2.1479074586291343e-25 16365/11501/56417/80287/60533/16149/93694/12913/80861/209200/17472/229898/15950/15951/226695/226691/381308/70110/16145/16161/16362/54123/15944/100038882/100040462/140474/434341/107607/246727/231655/547253/80285/192656/56045/74748/12703/20846/20847/21354/21355/24088/76681/319236/69097/230594/58203/78781 47
GO:0071346 "cellular response to interferon-gamma" 27/401 112/22215 5.580575184580949e-23 2.844698200340139e-20 2.2461815117938322e-20 16365/12362/16423/104252/626578/634650/14469/55932/17472/229898/100702/229900/76074/236573/16145/16161/16362/15900/15944/434341/18126/547253/80285/12703/20846/20910/24088 27
GO:0001819 "positive regulation of cytokine production" 48/401 493/22215 1.3572550919572744e-21 5.998506352597429e-19 4.736437090574723e-19 11501/214855/11911/12010/12266/12362/12363/60533/16149/12608/13078/13198/80861/19106/14257/229898/69146/15275/15930/15951/226695/226691/381308/16161/16190/16362/54123/15900/100038882/100040462/17874/107607/18126/246728/246727/55991/18795/101540/192656/20361/20846/72043/24088/217203/230979/69097/230594/78781 48
GO:0019221 "cytokine-mediated signaling pathway" 43/401 389/22215 1.4709431958306595e-21 5.998506352597429e-19 4.736437090574723e-19 14081/56417/12362/16149/15945/56066/17329/52668/66141/15976/16145/60440/16161/16164/16169/16362/54123/15944/100038882/16668/16691/17751/17874/434341/18128/246728/246727/231655/23962/18414/547253/80285/18795/192656/56045/12703/20846/20847/53416/24099/230594/30940/58203 43
GO:0045088 "regulation of innate immune response" 33/401 215/22215 3.216460606169703e-21 1.1924296683600046e-18 9.415457410787676e-19 16365/11501/56417/16149/93694/80861/229898/15950/15951/226695/226691/381308/70110/16145/16362/54123/15944/100038882/100040462/434341/246727/547253/80285/56045/74748/12703/20847/21354/21355/24088/76681/319236/58203 33
GO:0048525 "negative regulation of viral process" 24/401 102/22215 2.7242861010318355e-20 9.258032266673187e-18 7.310167704435425e-18 56417/80287/69550/16149/12265/19106/15951/226691/66141/100038882/57444/23961/246728/246727/231655/23962/20846/76681/319236/74735/69097/217069/22670/78781 24
GO:0050792 "regulation of viral process" 27/401 173/22215 9.186514635638227e-18 2.8817389757025145e-15 2.275429009750392e-15 56417/80287/69550/16149/12265/19106/15951/226691/66141/100038882/57444/18128/23961/246728/246727/231655/23962/20846/13830/76681/319236/74735/69097/217069/22670/94094/78781 27
GO:0042832 "defense response to protozoan" 15/401 36/22215 2.139177740023484e-17 5.886232051302786e-15 4.6477849939173545e-15 74481/626578/634650/14469/55932/17472/100702/229900/76074/236573/60440/16190/15900/54396/17874 15
GO:0016032 "viral process" 36/401 345/22215 2.1651172331913142e-17 5.886232051302786e-15 4.6477849939173545e-15 56417/80287/12018/69550/16149/12265/12913/216238/19106/15894/15951/226691/52668/66141/100038882/57444/16476/18128/23961/246728/246727/231655/23962/20846/13830/230979/76681/319236/74735/69097/217069/22670/94094/22278/58203/78781 36
GO:1903900 "regulation of viral life cycle" 25/401 152/22215 4.2428186689318777e-17 1.0813884082440123e-14 8.538672571225404e-15 56417/80287/69550/16149/12265/19106/15951/226691/66141/100038882/57444/18128/23961/246728/246727/231655/23962/76681/319236/74735/69097/217069/22670/94094/78781 25
GO:0001562 "response to protozoan" 15/401 39/22215 9.194614754386033e-17 2.2056258216697788e-14 1.7415682064190014e-14 74481/626578/634650/14469/55932/17472/100702/229900/76074/236573/60440/16190/15900/54396/17874 15
GO:0032103 "positive regulation of response to external stimulus" 38/401 420/22215 3.206759441362725e-16 7.26509166770955e-14 5.73653633399332e-14 16365/11501/12266/16423/16149/12608/12913/15945/80861/229898/15930/15950/15951/226695/226691/381308/70110/16145/54123/15944/85305/100040462/18081/434341/107607/56312/231655/80285/101540/192656/193385/53416/24088/76681/319236/69097/58203/78781 38
GO:0002833 "positive regulation of response to biotic stimulus" 25/401 171/22215 7.529639757526563e-16 1.6160984700628066e-13 1.2760757904860808e-13 16365/11501/60533/16149/80861/229898/15950/15951/226695/226691/381308/70110/16145/54123/15944/100040462/434341/231655/80285/24088/76681/319236/69097/58203/78781 25
GO:0019058 "viral life cycle" 29/401 256/22215 3.606624148200904e-15 7.353906638181644e-13 5.806664878603457e-13 56417/80287/69550/16149/12265/216238/19106/15894/15951/226691/52668/66141/100038882/57444/18128/23961/246728/246727/231655/23962/13830/76681/319236/74735/69097/217069/22670/94094/78781 29
GO:0032731 "positive regulation of interleukin-1 beta production" 16/401 59/22215 5.101159992437373e-15 9.905966880552195e-13 7.821778655070639e-13 12362/12363/229898/69146/15275/15951/226695/226691/381308/100040462/17874/107607/55991/192656/24088/217203 16
