ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GO:0030198 "extracellular matrix organization" 38/436 308/22215 1.430017974508848e-19 2.4162785367002803e-16 1.799670984911795e-16 11504/224697/239337/216725/240913/23794/269959/12389/67896/16007/12814/12819/12842/373864/12825/12830/94216/12831/12832/234356/13406/56429/13717/100952/23876/14268/241226/108075/76293/17385/17387/114249/208177/50706/53614/64074/21808/207596 38
GO:0043062 "extracellular structure organization" 38/436 309/22215 1.601787981222114e-19 2.4162785367002803e-16 1.799670984911795e-16 11504/224697/239337/216725/240913/23794/269959/12389/67896/16007/12814/12819/12842/373864/12825/12830/94216/12831/12832/234356/13406/56429/13717/100952/23876/14268/241226/108075/76293/17385/17387/114249/208177/50706/53614/64074/21808/207596 38
GO:0045229 "external encapsulating structure organization" 38/436 310/22215 1.7933784290204951e-19 2.4162785367002803e-16 1.799670984911795e-16 11504/224697/239337/216725/240913/23794/269959/12389/67896/16007/12814/12819/12842/373864/12825/12830/94216/12831/12832/234356/13406/56429/13717/100952/23876/14268/241226/108075/76293/17385/17387/114249/208177/50706/53614/64074/21808/207596 38
GO:0031589 "cell-substrate adhesion" 36/436 364/22215 1.6864025378952153e-15 1.704109764543115e-12 1.2692398048369251e-12 239337/67896/16007/12842/12825/50768/13406/13612/100952/18606/14268/14456/16398/241226/16419/223272/16449/16480/17118/17387/56349/18074/114249/208177/18792/50706/277360/19242/64074/20410/20750/24066/21825/329278/22339/22341 36
GO:0001503 ossification 35/436 412/22215 3.9335674991923255e-13 3.179895966347076e-10 2.3684216942505367e-10 239337/66695/12006/16007/22402/12842/234356/20148/13406/474332/18605/14119/14609/15902/15903/16000/16009/16449/74511/17313/17387/433938/114249/107587/237928/235611/19242/76566/20661/20750/231633/21934/329278/22339/22341 35
GO:0010810 "regulation of cell-substrate adhesion" 25/436 224/22215 2.682576061812131e-12 1.807162073640772e-9 1.3459943046987181e-9 67896/16007/12842/50768/13406/13612/100952/18606/14268/16449/16480/17387/56349/114249/208177/18792/50706/277360/19242/64074/20750/24066/21825/22339/22341 25
GO:0045765 "regulation of angiogenesis" 28/436 302/22215 1.2021177975274865e-11 5.899814230282177e-9 4.394246907108785e-9 11504/11826/20292/12509/12562/12767/13179/100952/18606/23876/13197/16480/20620/18751/19242/19274/53614/20496/64074/20692/20698/21413/21808/21813/21825/21826/22339/22341 28
GO:0060348 "bone development" 25/436 240/22215 1.2422078640775605e-11 5.899814230282177e-9 4.394246907108785e-9 239337/12006/12111/22402/12628/12842/373864/12825/234356/20148/14609/16000/74511/269878/17387/107587/54635/237928/235611/76566/20692/21813/21825/231633/22761 25
GO:0001822 "kidney development" 29/436 325/22215 1.313664722230074e-11 5.899814230282177e-9 4.394246907108785e-9 11504/11826/83675/12628/12931/12767/13617/13642/218476/15902/15903/241226/16449/67703/114249/107587/100102/18596/74055/98711/19876/268902/20677/20750/24063/20897/21419/21808/22339 29
GO:1901342 "regulation of vasculature development" 28/436 306/22215 1.6452959784742884e-11 6.6502863449930736e-9 4.9532068404594365e-9 11504/11826/20292/12509/12562/12767/13179/100952/18606/23876/13197/16480/20620/18751/19242/19274/53614/20496/64074/20692/20698/21413/21808/21813/21825/21826/22339/22341 28
