ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GO:0035456 "response to interferon-beta" 40/733 63/22215 8.843253609519658e-44 4.3199293882503534e-40 3.4684171525337106e-40 667214/16365/383619/69550/240328/14469/55932/100702/620913/225594/240327/432555/15950/15951/226695/102639543/226691/100033459/236312/381308/623121/15953/15957/15959/15976/15977/16145/60440/16362/15944/54396/100040462/246730/23960/71701/20846/72512/21822/100039796/327959 40
GO:0035458 "cellular response to interferon-beta" 37/733 55/22215 5.135778393785664e-42 1.2544138726821484e-38 1.0071531734339675e-38 667214/16365/383619/240328/14469/55932/100702/620913/225594/240327/432555/15950/15951/226695/102639543/226691/100033459/236312/381308/623121/15953/15957/15959/15977/16145/60440/16362/15944/54396/100040462/246730/23960/71701/20846/72512/21822/100039796 37
GO:0002831 "regulation of response to biotic stimulus" 69/733 335/22215 4.193824837909991e-35 4.6836247172367655e-32 3.760423573005266e-32 16365/383619/80287/54725/20304/60533/16149/93694/12810/234311/80861/209200/63953/14190/17472/229898/14824/14991/15950/15951/226695/102639543/226691/100033459/236312/381308/70110/16145/16161/16168/16174/16362/54123/15944/100038882/100040462/434341/64685/107607/246730/23960/246727/231655/71648/547253/80285/19255/192656/71956/56045/20723/12258/74748/12703/20846/20847/72512/21354/21355/24088/21929/231712/76681/319236/20821/20128/209387/667823/58203 69
GO:0051607 "defense response to virus" 61/733 255/22215 4.7938840503958706e-35 4.6836247172367655e-32 3.760423573005266e-32 16365/383619/80287/69550/20304/15945/17329/234311/80861/209200/14190/17472/110558/15951/102639543/226691/71586/15957/667373/112419/15958/15959/667370/15967/15976/15977/16161/16168/16362/16363/27056/54123/100038882/53859/74568/17454/17857/17858/107569/246730/23960/246727/231655/23962/80285/24014/71956/58185/56045/276950/237886/20846/20847/72512/142980/76681/217069/94094/384309/70450/58203 61
GO:0140546 "defense response to symbiont" 61/733 255/22215 4.7938840503958706e-35 4.6836247172367655e-32 3.760423573005266e-32 16365/383619/80287/69550/20304/15945/17329/234311/80861/209200/14190/17472/110558/15951/102639543/226691/71586/15957/667373/112419/15958/15959/667370/15967/15976/15977/16161/16168/16362/16363/27056/54123/100038882/53859/74568/17454/17857/17858/107569/246730/23960/246727/231655/23962/80285/24014/71956/58185/56045/276950/237886/20846/20847/72512/142980/76681/217069/94094/384309/70450/58203 61
GO:0034341 "response to interferon-gamma" 47/733 139/22215 9.519949118254656e-35 7.750825240445665e-32 6.223040423616992e-32 16365/69550/12362/20296/20304/20306/20307/16423/16149/12265/69635/626578/634650/14469/55932/17472/229898/100702/229900/76074/236573/14961/15018/110558/16145/16161/16362/15900/15944/54396/16452/434341/64685/18126/547253/80285/19255/12703/20684/20846/74732/20910/20912/21822/24088/20821/24108 47
GO:0009615 "response to virus" 66/733 311/22215 1.9316915192676385e-34 1.348044724517488e-31 1.0823282106452964e-31 16365/383619/80287/69550/20304/15945/17329/234311/80861/209200/14190/17472/110558/15951/102639543/226691/71586/15957/667373/112419/15958/15959/667370/15967/15976/15977/16145/16161/16168/16362/16363/27056/54123/15944/100038882/16819/53859/74568/17454/17857/17858/64685/107569/246730/23960/246727/231655/23962/80285/24014/71956/58185/56045/276950/237886/20846/20847/72512/21822/142980/76681/217069/94094/384309/70450/58203 66
GO:0045088 "regulation of innate immune response" 55/733 215/22215 2.541924101306974e-33 1.552162404360571e-30 1.246211737035498e-30 16365/383619/54725/16149/93694/12810/80861/63953/229898/14824/14991/15950/15951/226695/102639543/226691/100033459/236312/381308/70110/16145/16174/16362/54123/15944/100038882/100040462/434341/64685/246730/23960/246727/547253/80285/19255/71956/56045/20723/12258/74748/12703/20847/72512/21354/21355/24088/21929/231712/76681/319236/20821/20128/209387/667823/58203 55
GO:0071346 "cellular response to interferon-gamma" 39/733 112/22215 1.37942414295198e-29 7.487207709244914e-27 6.011385212443365e-27 16365/12362/20296/20304/20306/20307/16423/69635/626578/634650/14469/55932/17472/229898/100702/229900/76074/236573/14961/15018/110558/16145/16161/16362/15900/15944/16452/434341/64685/18126/547253/80285/19255/12703/20846/74732/20910/20912/24088 39
GO:0048525 "negative regulation of viral process" 35/733 102/22215 2.0020548304851833e-26 9.78003784692012e-24 7.852269787776623e-24 80287/69550/20304/16149/12265/107373/15951/102639543/226691/71586/15977/100038882/17069/246730/23960/246727/231655/23962/671535/67246/24014/58185/20684/20846/76681/319236/74735/20821/217069/22670/20128/209387/667823/384309/22695 35
